20180517,香逸熙园,11500,在售,[湾里区]						红湾公路866号,香逸熙园B1户型  3室2厅1卫1厨				 				90㎡(建面),总价待定:香逸熙园A1户型  3室2厅1卫1厨				 				95㎡(建面),总价待定:香逸熙园洋房B户型  2室2厅2卫1厨				 				119㎡(建面),参考总价：136.85万元/套
20180517,世茂大观,22000,在售,[朝阳新城]						西湖区朝阳新城老洲街与桂殿路交汇处,世茂大观D户型130平3室2厅2卫  3室2厅2卫1厨				 				130㎡(建面),参考总价：286万元/套世茂大观E户型134平3室2厅2卫  3室2厅2卫1厨				 				134㎡(建面),参考总价：294.8万元/套世茂大观C户型163平6室2厅3卫  6室2厅3卫1厨				 				163㎡(建面),参考总价：358.6万元/套
20180517,世纪乐活公元城2期|欢乐颂,10000,在售,[经开区]						白玉兰路与榆林路交汇处,世纪乐活公元城2期|欢乐颂C户型89㎡  3室2厅1卫1厨				 				89㎡(建面),总价待定:世纪乐活公元城2期|欢乐颂F1户型104㎡  3室2厅1卫1厨				 				104㎡(建面),总价待定:世纪乐活公元城2期|欢乐颂H户型108㎡  3室2厅2卫1厨				 				108㎡(建面),总价待定:
20180517,冶建尚郡,12500,在售,[青云谱区]						青云谱区南莲路499号(冶建大院),冶建尚郡A1户型  2室2厅1卫1厨				 				77㎡(建面),参考总价：96.25万元/套冶建尚郡B3户型  3室2厅1卫1厨				 				97㎡(建面),参考总价：121.25万元/套冶建尚郡B5户型111平  3室2厅2卫1厨				 				111㎡(建面),参考总价：138.75万元/套
20180517,新力银湖湾,8500,在售,[南昌县]						金沙大道与汇仁大道交汇处(护理学院南面...,新力银湖湾loft公寓44平  1室1厅1卫1厨				 				44㎡(建面),参考总价：25.52万元/套新力银湖湾loft公寓53平  3室2厅2卫1厨				 				53㎡(建面),参考总价：45.05万元/套新力银湖湾A2户型  3室2厅1卫1厨				 				88㎡(建面),参考总价：74.8万元/套
20180517,江铃时代城,11500,在售,[新建区]						明月山大道1588号,江铃时代城A1户型  3室2厅1卫1厨				 				89㎡(建面),参考总价：102.35万元/套江铃时代城B1户型  3室2厅2卫1厨				 				106㎡(建面),参考总价：121.9万元/套江铃时代城C1户型  3室2厅2卫1厨				 				115㎡(建面),总价待定:
20180517,南部美的城,8800,在售,[南昌县]						银良北路168号(实验学校旁),南部美的城F户型  3室2厅1卫1厨				 				89㎡(建面),参考总价：78.32万元/套南部美的城二期三期A户型  3室2厅1卫1厨				 				89㎡(建面),参考总价：78.32万元/套南部美的城G户型  3室2厅2卫1厨				 				110㎡(建面),参考总价：96.8万元/套
20180517,联发公园前,15500,在售,[西湖区]						西湖区丹桂路与云天路交汇处(喜盈门旁),联发公园前5 6 9#一层二层端户洋房户型图  3室2厅3卫1厨				 				138㎡(建面),总价待定:联发公园前2 9#八层（1 5 6#九层）洋房户型  3室2厅2卫1厨				 				138㎡(建面),总价待定:联发公园前5 6 9#一层二层中间户户型  4室2厅3卫1厨				 				146㎡(建面),总价待定:
20180517,万科璞悦里,9700,在售,[湾里区]						南昌湾里射击中心路1号,万科璞悦里D2户型  3室2厅2卫1厨				 				112㎡(建面),参考总价：108.64万元/套万科璞悦里B户型  4室2厅2卫1厨				 				125㎡(建面),参考总价：121.25万元/套万科璞悦里C2户型  3室2厅1卫1厨				 				89㎡(建面),参考总价：86.33万元/套
20180517,美高东郊紫园,7500,在售,[高新开发区]						麻丘镇街沿昌万公路东800米,美高东郊紫园D户型  2室2厅2卫1厨				 				108㎡(建面),参考总价：56.63万元/套美高东郊紫园A1户型130平4室2厅2卫  4室2厅2卫1厨				 				130㎡(建面),参考总价：97.5万元/套美高东郊紫园K户型  2室2厅1卫1厨				 				96㎡(建面),总价待定:
